"filename", "language", "JavaScript", "JSON", "Markdown", "Solidity", "CSS", "HTML", "comment", "blank", "total"
"/Users/Apple/Downloads/nftSwap/README.md", "Markdown", 0, 0, 252, 0, 0, 0, 0, 107, 359
"/Users/Apple/Downloads/nftSwap/TASKS.md", "Markdown", 0, 0, 238, 0, 0, 0, 0, 70, 308
"/Users/Apple/Downloads/nftSwap/contracts/ERC721.sol", "Solidity", 0, 0, 0, 176, 0, 0, 56, 34, 266
"/Users/Apple/Downloads/nftSwap/contracts/IERC165.sol", "Solidity", 0, 0, 0, 4, 0, 0, 13, 2, 19
"/Users/Apple/Downloads/nftSwap/contracts/IERC721.sol", "Solidity", 0, 0, 0, 29, 0, 0, 4, 13, 46
"/Users/Apple/Downloads/nftSwap/contracts/IERC721Metadata.sol", "Solidity", 0, 0, 0, 6, 0, 0, 1, 3, 10
"/Users/Apple/Downloads/nftSwap/contracts/IERC721Receiver.sol", "Solidity", 0, 0, 0, 9, 0, 0, 2, 1, 12
"/Users/Apple/Downloads/nftSwap/contracts/Lock.sol", "Solidity", 0, 0, 0, 20, 0, 0, 5, 10, 35
"/Users/Apple/Downloads/nftSwap/contracts/MockFailingNFT.sol", "Solidity", 0, 0, 0, 39, 0, 0, 5, 12, 56
"/Users/Apple/Downloads/nftSwap/contracts/NFTSwap.sol", "Solidity", 0, 0, 0, 118, 0, 0, 23, 25, 166
"/Users/Apple/Downloads/nftSwap/contracts/String.sol", "Solidity", 0, 0, 0, 49, 0, 0, 19, 7, 75
"/Users/Apple/Downloads/nftSwap/contracts/WTFApe.sol", "Solidity", 0, 0, 0, 14, 0, 0, 5, 5, 24
"/Users/Apple/Downloads/nftSwap/frontend/package.json", "JSON", 0, 33, 0, 0, 0, 0, 0, 1, 34
"/Users/Apple/Downloads/nftSwap/frontend/public/index.html", "HTML", 0, 0, 0, 0, 0, 80, 1, 7, 88
"/Users/Apple/Downloads/nftSwap/frontend/public/manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 1, 26
"/Users/Apple/Downloads/nftSwap/frontend/src/App.css", "CSS", 0, 0, 0, 0, 238, 0, 26, 35, 299
"/Users/Apple/Downloads/nftSwap/frontend/src/App.js", "JavaScript", 42, 0, 0, 0, 0, 0, 6, 4, 52
"/Users/Apple/Downloads/nftSwap/frontend/src/abis/NFTSwapABI.json", "JSON", 0, 297, 0, 0, 0, 0, 0, 1, 298
"/Users/Apple/Downloads/nftSwap/frontend/src/abis/WTFApeABI.json", "JSON", 0, 390, 0, 0, 0, 0, 0, 1, 391
"/Users/Apple/Downloads/nftSwap/frontend/src/components/BackgroundEffect.js", "JavaScript", 209, 0, 0, 0, 0, 0, 4, 14, 227
"/Users/Apple/Downloads/nftSwap/frontend/src/components/CustomSelect/CustomSelect.js", "JavaScript", 133, 0, 0, 0, 0, 0, 8, 20, 161
"/Users/Apple/Downloads/nftSwap/frontend/src/components/FeaturedNFTs/FeaturedNFTs.js", "JavaScript", 130, 0, 0, 0, 0, 0, 1, 16, 147
"/Users/Apple/Downloads/nftSwap/frontend/src/components/Filters/FilterBar.js", "JavaScript", 96, 0, 0, 0, 0, 0, 16, 9, 121
"/Users/Apple/Downloads/nftSwap/frontend/src/components/IPFSExample/IPFSExample.js", "JavaScript", 337, 0, 0, 0, 0, 0, 19, 55, 411
